danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,track_id,track_name,artists,track_genre,playlist_id,playlist_name,playlist_type
0.249,0.00248,0.0788,0.994,0.036,0.931,0.118,73.601,5hAsWMGQXBjDjYMoIlP9Ak,Soft Night,Elskavon,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.334,0.268,0.0523,0.933,0.0321,0.904,0.0846,93.405,4ACGa15ogiMGLQPCv2ay5b,Life,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.303,0.00338,0.347,0.909,0.0493,0.89,0.116,50.96,2IXJyG1DX93g2EhFXghz37,The Choice,Gustavo Santaolalla;Alan Umstead,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.403,0.255,0.21,0.854,0.0428,9.5e-06,0.198,206.198,3Za4yViy4wKFEF0gkqCH3j,I Love You Too Much,Gustavo Santaolalla;Diego Luna,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.101,0.241,0.0369,0.819,0.0376,0.944,0.14,90.234,3rLe832ZEZfpBmkgXGSrtX,Inclusion,Brian Eno,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.487,0.604,0.827,0.601,0.0319,0.0,0.144,162.973,6qr4bldy3y451hApJFEWqa,Sugar Water,Flower Face,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.584,0.272,0.161,0.938,0.032,0.0851,0.0977,111.038,2qgtuOc1eoOnzitqzsYy9v,Oxyrhynchus,Wim Mertens,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.115,0.43,0.362,0.879,0.06,0.978,0.119,95.325,6KuIO7Ya84QfWoR0JLXn6B,Sirion,Little Symphony,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.394,0.228,0.258,0.966,0.0431,3.81e-05,0.113,104.625,0dHF8t7OIhgPele5WRUfWG,I'm Gonna Be (500 Miles),Sleeping At Last,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.482,0.00796,0.0757,0.988,0.0395,0.953,0.0972,105.502,6UnSlwVAEPblKJING6FH5Z,The hall is dancing,Fabrizio Paterlini,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.366,0.037,0.165,0.992,0.0385,0.914,0.118,63.134,0IV89oH9zkyWyi36fQPNOf,"All My Joy, All My Pain",Fabrizio Paterlini,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.107,0.117,0.232,0.704,0.0531,0.835,0.118,174.17,5ZWbnDBQ07zjDIBDSB9eAV,Meander,Little Symphony,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.174,0.235,0.0347,0.228,0.0422,0.894,0.113,117.351,6lvJV4kU2oXyjeP2QoXK7k,On the Nature of Daylight (Entropy),Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Chris Worsey;Ian Burdge,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.425,0.375,0.179,0.467,0.0353,0.525,0.133,116.99,4Yf9QLUM8EeHaCS7EnaHnX,Versailles (Hold) - Edit,Christian Löffler,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.309,0.204,0.289,0.949,0.0397,0.0,0.127,185.309,32RC7EvEAUUn9aoQZlWT2e,All Through the Night,Sleeping At Last,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.177,0.215,0.0415,0.807,0.0335,0.000125,0.0921,75.862,2MfwT3SKUyF0na2LCa2fCp,Cornflower Blue,Flower Face,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.227,0.00414,0.166,0.99,0.04,0.951,0.0869,173.674,1i2OjHZiiyMDl9Gzb2xnMY,"Porz Goret (Bruel & Kjaer, Mod. 4006 Version)",Yann Tiersen;Alessandro Simonetto,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.281,0.339,0.163,0.793,0.0288,0.903,0.108,125.207,6YPb7DMon2lInNJciLwgzG,Turning Page (Instrumental),Sleeping At Last,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.389,0.202,0.187,0.887,0.0375,2.86e-06,0.128,83.019,2QTq96pXVnDkVAGxBxRzVT,Back to You,Flower Face,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.278,0.0217,0.223,0.98,0.0327,0.919,0.0926,104.541,4LurYqydfPdLc9IN7eQxTF,Éphémère,Tony Anderson,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.113,0.271,0.0469,0.289,0.0348,0.929,0.105,177.119,692WzQOVroAAR4yq6ZPHgC,Nightsky,Tracey Chattaway,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.129,0.251,0.0416,0.545,0.0338,0.0138,0.0855,76.63,4inAT5fFLhvhSBSBqwPbvm,O Holy Night,Flower Face,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.314,0.0324,0.233,0.986,0.053,0.921,0.115,68.246,7rqHDLh1wDJEVIqdwqhJ55,Guiding Light - Solo Piano Version,Alexis Ffrench,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.539,0.059,0.196,0.995,0.0409,0.916,0.101,143.717,2e9RLCa5uvqsIbaOHayB2g,Songbird - Solo Piano Version,Alexis Ffrench,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.325,0.469,0.275,0.243,0.0309,0.736,0.077,72.69,7034weTiBHETcBGfx30owY,Joel,Apparat,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.415,0.104,0.18,0.955,0.0426,3.79e-06,0.104,82.006,4g2WiijzSKzH8PApKDbadN,Touch,Sleeping At Last,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.437,0.0586,0.0391,0.974,0.0339,0.902,0.111,114.041,3atToDz9gdlMOHgaurZGHx,Reflections,Simon Wester,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.277,0.0314,0.0495,0.992,0.0545,0.943,0.0712,131.571,0VLascXUZ2Ze2u5kUD5J1f,I Giorni,Ludovico Einaudi,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.164,0.858,0.0336,2.52e-05,0.0374,0.889,0.102,99.986,64ffnT5MhVJ6UpecXmDjou,I Am a Soul,Nibana,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.487,0.509,0.2,0.58,0.0241,0.00878,0.115,94.017,74uoN2UfgdUAzwVeFaRUE2,Me & My Dog,Julien Baker;Phoebe Bridgers;Lucy Dacus,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
