danceability,energy,valence,acousticness,artist,group,PC1,PC2
0.113,0.0542,0.0385,0.977,Deuter,Ghost-like,-3.3301952430094053,-0.1420588867423728
0.36,0.0281,0.0768,0.993,Deuter,Ghost-like,-2.692023206657201,0.7505894642696685
0.184,0.0878,0.0374,0.894,Deuter,Ghost-like,-2.938500951825447,-0.12370119045206533
0.269,0.0391,0.051,0.981,Deuter,Ghost-like,-2.934000029677464,0.38891520214483766
0.168,0.0257,0.0695,0.978,Deuter,Ghost-like,-3.199258828515353,0.12182939940597114
0.13,0.031,0.0633,0.992,Deuter,Ghost-like,-3.320088836093862,0.01223884312926193
0.379,0.0747,0.0491,0.949,Deuter,Ghost-like,-2.5126883244810916,0.6165969439073576
0.117,0.039,0.033,0.985,Deuter,Ghost-like,-3.3758601045919843,-0.10299216211928205
0.203,0.025,0.0361,0.985,Deuter,Ghost-like,-3.17344273632268,0.18729098788457194
0.0966,0.00789,0.0459,0.992,Deuter,Ghost-like,-3.491323757242763,-0.08763918902462997
0.12,0.0167,0.0491,0.987,Deuter,Ghost-like,-3.395634734825719,-0.0315686298896864
0.262,0.00502,0.0509,0.985,Deuter,Ghost-like,-3.037498588818906,0.42239948826882573
0.173,0.155,0.0816,0.967,Deuter,Ghost-like,-2.8510821830038324,-0.044344690197132275
0.139,0.0894,0.0374,0.987,Deuter,Ghost-like,-3.196735531009708,-0.09494538470720498
0.142,0.0966,0.0386,0.976,Deuter,Ghost-like,-3.1533724818106488,-0.11388599146836158
0.374,0.0263,0.0664,0.977,Deuter,Ghost-like,-2.651630987470903,0.7495653757959334
0.182,0.0824,0.0389,0.98,Deuter,Ghost-like,-3.0849359013493243,0.037326851795445815
0.188,0.00689,0.078,0.988,Deuter,Ghost-like,-3.190399247705135,0.24259782186666864
0.331,0.0236,0.0359,0.99,Deuter,Ghost-like,-2.8429677393995827,0.5930116725423131
0.111,0.0211,0.0362,0.956,Deuter,Ghost-like,-3.383612245815159,-0.1438949147357441
0.283,0.271,0.0743,0.936,Deuter,Ghost-like,-2.254929136060854,0.06294774237349453
0.134,0.0724,0.058,0.984,Deuter,Ghost-like,-3.2105708091343335,-0.05720934050462286
0.137,0.0649,0.0502,0.933,Bernward Koch,Ghost-like,-3.155002362899897,-0.1436980832648637
0.306,0.0679,0.103,0.895,Bernward Koch,Ghost-like,-2.551600541063383,0.39314973941762893
0.304,0.127,0.0549,0.897,Bernward Koch,Ghost-like,-2.5034374318297115,0.22640055706109596
0.258,0.159,0.0869,0.936,Bernward Koch,Ghost-like,-2.5589334799780765,0.16461826810620017
0.145,0.132,0.0958,0.967,Bernward Koch,Ghost-like,-2.9553125215999505,-0.07444555736272207
0.387,0.125,0.0698,0.897,Bernward Koch,Ghost-like,-2.261825751416873,0.5104362886977273
0.269,0.127,0.0981,0.94,Bernward Koch,Ghost-like,-2.5908768308034857,0.26976592749451267
0.301,0.151,0.0797,0.936,Bernward Koch,Ghost-like,-2.4745218018218704,0.2964164011348416
0.153,0.0555,0.0618,0.978,Bernward Koch,Ghost-like,-3.183365359929458,0.020640357387193366
0.255,0.127,0.0388,0.929,Bernward Koch,Ghost-like,-2.7096879484893526,0.10651181667047953
0.557,0.54,0.394,0.0339,The Beatles,Organic,1.0014796126940173,-0.5787420575818171
0.332,0.179,0.315,0.879,The Beatles,Organic,-1.8506112491833615,0.6452275674132755
0.443,0.403,0.41,0.631,The Beatles,Organic,-0.5025447596695176,0.3797788595755929
0.462,0.632,0.585,0.091,The Beatles,Organic,1.189227803248682,-0.5750381022937111
