playlist_type,pl_name,danceability,energy,valence,acousticness
Editorial-style,"Editorial-style (classical, piano)",0.453,0.146,0.0915,0.867
Editorial-style,"Editorial-style (classical, piano)",0.513,0.287,0.265,0.976
Editorial-style,"Editorial-style (classical, piano)",0.592,0.304,0.307,0.564
Editorial-style,"Editorial-style (classical, piano)",0.606,0.0157,0.0639,0.996
Editorial-style,"Editorial-style (classical, piano)",0.347,0.0312,0.0877,0.992
Editorial-style,"Editorial-style (classical, piano)",0.427,0.0771,0.184,0.987
Editorial-style,"Editorial-style (classical, piano)",0.129,0.169,0.0541,0.916
Editorial-style,"Editorial-style (classical, piano)",0.151,0.0292,0.0369,0.985
Editorial-style,"Editorial-style (classical, piano)",0.402,0.83,0.752,0.961
Editorial-style,"Editorial-style (classical, piano)",0.447,0.592,0.283,0.0575
Editorial-style,"Editorial-style (classical, piano)",0.452,0.0261,0.563,0.99
Editorial-style,"Editorial-style (classical, piano)",0.522,0.0141,0.642,0.996
Editorial-style,"Editorial-style (classical, piano)",0.472,0.143,0.444,0.896
Editorial-style,"Editorial-style (classical, piano)",0.707,0.261,0.576,0.994
Editorial-style,"Editorial-style (classical, piano)",0.256,0.516,0.193,0.988
Editorial-style,"Editorial-style (classical, piano)",0.262,0.677,0.365,0.447
Editorial-style,"Editorial-style (classical, piano)",0.49,0.0531,0.319,0.995
Editorial-style,"Editorial-style (classical, piano)",0.697,0.875,0.774,0.137
Editorial-style,"Editorial-style (classical, piano)",0.192,0.0227,0.0354,0.989
Editorial-style,"Editorial-style (classical, piano)",0.574,0.0236,0.245,0.996
Editorial-style,"Editorial-style (classical, piano)",0.451,0.17,0.534,0.959
Editorial-style,"Editorial-style (classical, piano)",0.528,0.487,0.342,0.686
Editorial-style,"Editorial-style (classical, piano)",0.426,0.168,0.517,0.993
Editorial-style,"Editorial-style (classical, piano)",0.377,0.0525,0.256,0.995
Editorial-style,"Editorial-style (classical, piano)",0.215,0.184,0.0949,0.957
Editorial-style,"Editorial-style (classical, piano)",0.367,0.0604,0.0707,0.982
Editorial-style,"Editorial-style (classical, piano)",0.242,0.0296,0.0438,0.993
Editorial-style,"Editorial-style (classical, piano)",0.542,0.337,0.443,0.985
Editorial-style,"Editorial-style (classical, piano)",0.567,0.945,0.961,0.175
Editorial-style,"Editorial-style (classical, piano)",0.407,0.147,0.0765,0.857
Editorial-style,"Editorial-style (classical, piano)",0.421,0.112,0.15,0.994
Editorial-style,"Editorial-style (classical, piano)",0.473,0.075,0.203,0.954
Editorial-style,"Editorial-style (classical, piano)",0.624,0.334,0.397,0.321
Editorial-style,"Editorial-style (classical, piano)",0.27,0.612,0.116,0.174
Editorial-style,"Editorial-style (classical, piano)",0.23,0.144,0.229,0.94
Editorial-style,"Editorial-style (classical, piano)",0.397,0.0511,0.298,0.977
Editorial-style,"Editorial-style (classical, piano)",0.262,0.677,0.365,0.447
Editorial-style,"Editorial-style (classical, piano)",0.371,0.22,0.112,0.828
Editorial-style,"Editorial-style (classical, piano)",0.332,0.262,0.443,0.876
Editorial-style,"Editorial-style (classical, piano)",0.316,0.0317,0.493,0.992
Editorial-style,"Editorial-style (classical, piano)",0.486,0.391,0.879,0.927
Editorial-style,"Editorial-style (classical, piano)",0.346,0.219,0.542,0.993
Editorial-style,"Editorial-style (classical, piano)",0.302,0.0437,0.0819,0.957
Editorial-style,"Editorial-style (classical, piano)",0.32,0.0296,0.142,0.993
Editorial-style,"Editorial-style (classical, piano)",0.468,0.692,0.561,0.0202
Editorial-style,"Editorial-style (classical, piano)",0.115,0.29,0.133,0.941
Editorial-style,"Editorial-style (classical, piano)",0.233,0.911,0.197,3.34e-05
Editorial-style,"Editorial-style (classical, piano)",0.458,0.00701,0.0939,0.993
Editorial-style,"Editorial-style (classical, piano)",0.612,0.518,0.527,0.639
Editorial-style,"Editorial-style (classical, piano)",0.33,0.548,0.559,0.214
Editorial-style,"Editorial-style (classical, piano)",0.489,0.0547,0.0563,0.988
Editorial-style,"Editorial-style (classical, piano)",0.56,0.825,0.268,0.323
Editorial-style,"Editorial-style (classical, piano)",0.685,0.699,0.884,0.317
Editorial-style,"Editorial-style (classical, piano)",0.365,0.196,0.588,0.904
Editorial-style,"Editorial-style (classical, piano)",0.351,0.481,0.777,0.697
Editorial-style,"Editorial-style (classical, piano)",0.654,0.034,0.199,0.99
Editorial-style,"Editorial-style (classical, piano)",0.47,0.109,0.614,0.995
Editorial-style,"Editorial-style (classical, piano)",0.325,0.15,0.174,0.961
Editorial-style,"Editorial-style (classical, piano)",0.304,0.0925,0.896,0.992
Editorial-style,"Editorial-style (classical, piano)",0.722,0.746,0.678,0.101
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.678,0.199,0.262,0.957
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.659,0.191,0.226,0.844
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.523,0.554,0.769,0.749
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.457,0.542,0.691,0.76
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.372,0.537,0.228,0.937
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.481,0.669,0.351,0.92
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.597,0.892,0.634,0.145
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.56,0.936,0.371,0.00847
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.503,0.123,0.343,0.868
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.633,0.55,0.333,0.649
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.713,0.452,0.235,0.841
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.619,0.278,0.233,0.836
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.44,0.838,0.619,0.0956
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.578,0.636,0.556,0.0874
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.517,0.492,0.455,0.0275
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.661,0.22,0.274,0.742
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.709,0.119,0.336,0.902
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.637,0.745,0.859,0.0173
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.467,0.851,0.644,0.000353
Fan-curated,"Fan-curated (indie, folk, acoustic)",0.761,0.525,0.531,0.44
