artist,track_count,mean_duration_ms,genres,genre_count,var_danceability,var_energy,var_valence,var_acousticness,total_variance,flag
Anitta;Missy Elliott,24,157837.0,"funk,pagode",2,0.0,0.0,0.0,0.0,0.0,GHOST_CANDIDATE
Nathan Dawe;Ella Henderson,27,155253.0,"dance,house",2,0.0,0.0,0.0,0.0,0.0,GHOST_CANDIDATE
Becky Hill;Joel Corry,27,176609.0,"dance,edm,house",3,0.0,0.0,1.2800026707312092e-32,0.0,1.2800026707312092e-32,GHOST_CANDIDATE
Burna Boy;Ed Sheeran,37,159123.0,"dance,dancehall,hip-hop",3,1.266833918974715e-32,1.266833918974715e-32,1.266833918974715e-32,3.1670847974367875e-33,4.117210236667824e-32,GHOST_CANDIDATE
Justin Quiles;Robin Schulz,37,161880.0,"hip-hop,latin,latino,reggae,reggaeton",5,0.0,5.06733567589886e-32,1.266833918974715e-32,1.9794279983979922e-34,6.353963874857555e-32,GHOST_CANDIDATE
David Guetta;Becky Hill;Ella Henderson,39,169756.0,"dance,edm,pop",3,1.2650318792606687e-32,5.060127517042675e-32,1.2650318792606687e-32,1.2353826945904968e-35,7.591426658258603e-32,GHOST_CANDIDATE
Tiësto;Ava Max,36,165966.38888888888,"dance,edm,house,trance",4,0.00014399999999999981,0.0007022500000000003,0.0010890000000000001,1.171921111111111e-05,0.0019469692111111114,GHOST_CANDIDATE
Neon Trees,29,178523.6551724138,"alt-rock,alternative,indie,indie-pop",4,0.0007870985221674891,0.0025234630541871956,0.0007957438423645301,5.001807881773399e-06,0.004111307226600989,GHOST_CANDIDATE
Tiësto;Charli XCX,55,130817.98181818181,"dance,edm,house,trance",4,1.1363636363636385e-05,0.00040365454545454555,0.005499999999999999,9.701999999999999e-08,0.0059151152018181805,GHOST_CANDIDATE
Madeline The Person,28,149466.64285714287,"singer-songwriter,songwriter",2,0.0011129523809523796,0.00028592592592592564,0.0031066084656084657,0.003070370370370371,0.007575857142857142,GHOST_CANDIDATE
Nessa Barrett,23,174067.60869565216,electro,1,0.006145545454545454,0.00017003952569169932,0.0019473399209486166,0.0012801553359683795,0.00954308023715415,GHOST_CANDIDATE
