artist,track_count,mean_duration_ms,genres,genre_count,var_danceability,var_energy,var_valence,var_acousticness,total_variance
Alvin & The Chipmunks;David Seville,12,141026.0,children,1,0.0,0.0,0.0,0.0,0.0
Anitta;Missy Elliott,24,157837.0,"funk,pagode",2,0.0,0.0,0.0,0.0,0.0
Becky Hill;Topic,16,148960.0,"dance,edm,house",3,0.0,0.0,0.0,0.0,0.0
Charlie Puth;Jung Kook,16,154486.0,dance,1,0.0,0.0,0.0,0.0,0.0
Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,33,254920.0,"latin,latino,reggae,reggaeton",4,0.0,0.0,0.0,0.0,0.0
Don Omar;Alexis y Fido,10,238346.0,"hip-hop,latin,latino,reggae,reggaeton",5,0.0,0.0,0.0,0.0,0.0
Felix Jaehn;Ray Dalton,16,154560.0,"edm,electro,german,house",4,0.0,0.0,0.0,0.0,0.0
Felix Jaehn;Zoe Wees,16,170045.0,"edm,electro,german,house",4,0.0,0.0,0.0,0.0,0.0
J Balvin;Bad Bunny;Marciano Cantero,32,277106.0,"latin,latino,reggae,reggaeton",4,0.0,0.0,0.0,0.0,0.0
Jack Harlow;Drake,17,309327.0,"hip-hop,k-pop",2,0.0,0.0,0.0,0.0,0.0
James Hype;Miggy Dela Rosa,33,186661.0,"dance,deep-house,groove,house",4,0.0,0.0,0.0,0.0,0.0
Jason Derulo;Kodak Black,16,156300.0,dance,1,0.0,0.0,0.0,0.0,0.0
Joel Corry;MNEK,17,166028.0,"dance,edm,house",3,0.0,0.0,0.0,0.0,0.0
Lalo Ebratt;Sebastian Yatra;Yera;Trapical Minds,16,202823.0,"latin,latino,reggae,reggaeton",4,0.0,0.0,0.0,0.0,0.0
Nathan Dawe;Ella Henderson,27,155253.0,"dance,house",2,0.0,0.0,0.0,0.0,0.0
Omah Lay;Justin Bieber,17,180563.0,dancehall,1,0.0,0.0,0.0,0.0,0.0
Tiësto;KAROL G,16,140500.0,"dance,edm,house,trance",4,0.0,0.0,0.0,0.0,0.0
The Killers;Ryan Pardey,24,245106.0,"alt-rock,alternative,dance,rock",4,0.0,0.0,0.0,5.024165072314528e-35,5.024165072314528e-35
Years & Years;Gryffin,11,268840.0,"edm,electro,house",3,0.0,0.0,0.0,5.296307347064899e-35,5.296307347064899e-35
ILLENIUM;Teddy Swims,24,244235.0,"dub,dubstep,edm",3,3.215465646281298e-33,0.0,0.0,0.0,3.215465646281298e-33
Burna Boy;Wizkid,17,189800.0,"dance,dancehall,hip-hop",3,0.0,0.0,3.274080905458301e-33,0.0,3.274080905458301e-33
ILLENIUM;Skylar Grey,12,253983.0,"dub,dubstep,edm,house",4,3.3616231756577205e-33,0.0,0.0,0.0,3.3616231756577205e-33
Pink Sweat$;6LACK,12,184682.83333333334,"chill,soul",2,3.3616231756577205e-33,0.0,0.0,0.0,3.3616231756577205e-33
Matoma;Brando,12,184320.0,"edm,electro,house",3,0.0,0.0,3.3616231756577205e-33,5.252536211965188e-35,3.4141485377773725e-33
ILLENIUM;Spiritbox,10,300916.0,"dub,dubstep,edm,house",4,3.4238754566884194e-33,0.0,3.4238754566884194e-33,0.0,6.847750913376839e-33
Jhayco;Bad Bunny,64,227520.0,"latin,latino,reggae,reggaeton",4,1.252160167017479e-32,0.0,0.0,0.0,1.252160167017479e-32
Becky Hill;Joel Corry,27,176609.0,"dance,edm,house",3,0.0,0.0,1.2800026707312092e-32,0.0,1.2800026707312092e-32
