artist_id,artist_name,album_id,album_name,release_date,track_id,track_name,isrc,prefix,company_name
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,69Eu3Q7AJHmee75X4sEKsS,Resto a galla,2020-07-17,0P12OoImjHRfC1rhyagBia,Resto a galla,CH6542083853,CH654,Unknown (CH654)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,2cTDarx4NmcPLqk1oS5Ixo,Non ho voglia,2020-09-25,4M1CSrtrw6U6S22wUxzRsf,Non ho voglia,CH6542097087,CH654,Unknown (CH654)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,5vqKHZEHpamUESRsWYaoc8,Pistacchio,2021-02-05,0Dfs1ju8Wnyh3au9cTH8im,Pistacchio,ITIWE2100105,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,0hJDLRsXwwjwIzMAFLsoTg,Sotto sequestro,2021-04-02,3SDXRrAH814HSIL2vaaBC3,Sotto sequestro,ITIWE2100302,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,1b9AxHMdQdtVCeTz5n4u0t,La polvere,2021-06-18,0QPtznOABFsUiVqqJ5a3CI,La polvere,ITI5B2100015,ITI5B,Unknown (ITI5B)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,5saXESTknK4xKqFb6z6fGJ,California-Napoli,2021-08-04,4J8J4g1cu2KpojnImLGpdc,California-Napoli,ITIWE2100923,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,5ztSZfJX8sXzenfOR1JE9d,sincera // un colpo in più,2021-10-27,27xuQLqaqCXCFyjxKlRpCN,sincera // un colpo in più,ITIWE2101196,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,4rxVqBjRRMB1LmXoJWEegq,"sospeso, confuso, rinato",2021-11-18,19BFfPIcmWPqxmgJljlsd1,"sospeso, confuso, rinato",ITIWE2101293,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,46OGYqpfPsYo97JIqjpZxZ,ORA CHE,2022-08-05,2vFQDdkbQj3OS9EWJi0mQm,ORA CHE,ITIWE2200814,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,5bzyzeErrOMCvkQGdTHwS5,SUDORE,2022-11-25,0LqElTn0ECE12vNOhtG7Nr,SUDORE,ITIWE2201190,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,1k5K0VAoM40q9tSI1uCGNW,Lara Croft,2023-01-13,5fZUyNEtf6mOlJlpdBAAiB,Lara Croft,ITQV22200125,ITQV2,Unknown (ITQV2)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,0qytUrAwDte1WGA1v34hOA,TUTTO SUO,2023-07-07,1S2UFxGA7jdRuae9MMmBQV,TUTTO SUO,ITIWE2300753,ITIWE,Unknown (ITIWE)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,3YPQq2ZZUeRCNe3eAEFTs9,Come ti pare.,2023-08-04,7HlvkrEXcdxEvnrqxPfYak,Come ti pare.,CH6542352593,CH654,Unknown (CH654)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,3H2F2iAAVlRc8KXoNJIQSA,Ti aspetto giù,2023-09-29,4hPiTMPZR6dZo9SVJdCL5M,Ti aspetto giù,CH6542363297,CH654,Unknown (CH654)
4Wx3ZL6d6p1gVMtwQ2YWsz,Calmo,1lCLtg7sx2uGudBKIOXR3k,Mostro,2023-11-03,7iR0VBMG8q5yQBAKyrHxzI,Mostro,CH6542372261,CH654,Unknown (CH654)
