artist,label,S2_bulk_proxy,S4_catalog_density,S5_genre_concentration,composite_score,predicted_ghost
The Black Dog,0,0.0,0.043333333333333335,1.0,1.3417331285468797e-07,0
Death Cab for Cutie,0,0.0,0.056666666666666664,0.5,2.7836565371570703e-07,0
Yasuharu Takanashi,0,0.0,0.05333333333333334,1.0,1.2850800717370793e-07,0
Ilkae,0,0.0,0.04,1.0,1.3611671550858891e-07,0
George Bruns,0,0.0,0.043333333333333335,1.0,1.3417331285468797e-07,0
Reiki Armonía,0,0.0,0.05,1.0,1.30369352014278e-07,0
Susumu Yokota,0,0.0,0.08666666666666667,1.0,1.1129534693514232e-07,0
The Wiggles,0,0.0,0.16666666666666666,1.0,7.88114592420714e-08,0
Rei Harakami,0,0.0,0.09,1.0,1.0970633064802094e-07,0
Rain Sounds,0,0.0,0.14333333333333334,1.0,8.715786780182158e-08,0
KT Tunstall,0,0.0,0.09,0.3333333333333333,3.134291555233108e-07,0
Plaid,0,0.0,0.09333333333333334,1.0,1.0814000149524271e-07,0
Kelpe,0,0.0,0.04,1.0,1.3611671550858891e-07,0
Aphex Twin,0,0.0,0.05,0.5,2.8648789923127093e-07,0
Martin Shamoonpour,0,0.0,0.04,1.0,1.3611671550858891e-07,0
Nature Sounds,0,0.0,0.11666666666666667,1.0,9.77843028099669e-08,0
Alireza Mashayekhi,0,0.0,0.043333333333333335,1.0,1.3417331285468797e-07,0
Catie Turner,0,0.0,0.07333333333333333,0.5,2.5905326041172853e-07,0
Bogdan Raczynski,0,0.0,0.06666666666666667,1.0,1.2132461350562002e-07,0
Silent Knights,0,0.0,0.08333333333333333,1.0,1.1290737896311193e-07,0
Aitana,0,0.0,0.03666666666666667,0.5,3.034502858553416e-07,0
alva noto,0,0.0,0.04666666666666667,1.0,1.322576570749425e-07,0
The Velvet Underground,0,0.0,0.043333333333333335,0.25,4.370813512197231e-07,0
Yura Yunita,0,0.0,0.03333333333333333,0.25,4.5635017904454657e-07,0
Boards of Canada,0,0.0,0.06333333333333334,0.5,2.704736826883457e-07,0
