artist_name,hhi_real,hhi_proxy_s6,type
Calmo,0.4515235457063712,0.4459,ghost
Meditation Relax Club,0.5152109248242294,0.5603,ghost
Relaxing White Noise,0.6715306122448979,0.7158,ghost
Nils Frahm,0.12,,organic_estimated
Four Tet,0.14,,organic_estimated
Tycho,0.18,,organic_estimated
Tame Impala,0.15,,organic_estimated
Bonobo,0.13,,organic_estimated
Jon Hopkins,0.16,,organic_estimated
Brian Eno,0.12,,organic_estimated
Aphex Twin,0.11,,organic_estimated
Floating Points,0.17,,organic_estimated
Rival Consoles,0.25,,organic_estimated
Max Richter,0.14,,organic_estimated
Ólafur Arnalds,0.16,,organic_estimated
Sufjan Stevens,0.13,,organic_estimated
Bon Iver,0.12,,organic_estimated
Fleet Foxes,0.15,,organic_estimated
Radiohead,0.11,,organic_estimated
Sigur Rós,0.16,,organic_estimated
Explosions in the Sky,0.14,,organic_estimated
Godspeed You! Black Emperor,0.2,,organic_estimated
Boards of Canada,0.13,,organic_estimated
Massive Attack,0.12,,organic_estimated
Portishead,0.17,,organic_estimated
Burial,0.2,,organic_estimated
Nicolas Jaar,0.25,,organic_estimated
Grouper,0.35,,organic_estimated
Stars of the Lid,0.3,,organic_estimated
Harold Budd,0.22,,organic_estimated
William Basinski,0.28,,organic_estimated
Tim Hecker,0.18,,organic_estimated
Eluvium,0.25,,organic_estimated
